run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,out_of_plane_width,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,pH,pH_ref,E1_eq_pH_slope_V_per_pH,E2_eq_pH_slope_V_per_pH,it0_1_pH_order,it0_2_pH_order,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,dh_warn_threshold,dh_violation_action,do_ofat,do_heatmaps,do_sensitivities,ofat_n,ofat_L_gap_n,heatmap_nx,heatmap_ny,scan_mode,heatmap_mode,sensitivity_mode,ofat_pH_min,ofat_pH_max,ofat_C_tot_min,ofat_C_tot_max,heatmap_C_tot_min,heatmap_C_tot_max,heatmap_L_min,heatmap_L_max,heatmap_Cdl_C_min,heatmap_Cdl_C_max,heatmap_pzc_C_offsets,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,i_mix_norm_A_per_m2,i_mix_phys_A_per_m,i_mix_abs_A,residual,residual_norm_A_per_m2,residual_phys_A_per_m,residual_abs_A,converged,method,iterations,out_of_plane_width_m,a1,b1,a2,b2,max_abs_phi_tilde,debye_huckel_ok,delta_pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,use_edl_case,C_tot_M,phi2_1_meanV,phi2_2_meanV,scan_param,scan_value,scan_value_M,Cdl_Au_uF_per_cm2,Cdl_Pd_uF_per_cm2,L_Au_nm,L_Pd_len_nm,pzc_Au_V,pzc_Pd_V
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.9509653748077024e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5304072691578149,0.3746064756341673,0.3746064756341673,1.1392599150405107e-09,1.1392599150405107e-09,1.2370104940373494e-12,1.2370104940373494e-12,3.762018443369036e-21,3.762018443369036e-21,True,brentq,16,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,2.9509653748077024e-09,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,4.100353092346435e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.47814875480095376,0.15648927874442492,0.15648927874442492,4.759179939570258e-10,4.759179939570258e-10,-3.3306690738754696e-16,-3.3306690738754696e-16,-1.0129290369868165e-24,-1.0129290369868165e-24,True,brentq,15,1.0,0.4737083636816334,-0.23623787261473206,0.618483064824663,-0.22943022062130186,2.5993118368954953,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,4.100353092346435e-09,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,4.100353092346435e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5206984842618655,0.43085448404517485,0.43085448404517485,1.3103223644416861e-09,1.3103223644416861e-09,2.2537527399890678e-14,2.2537527399890678e-14,6.854153150277457e-23,6.854153150277457e-23,True,brentq,16,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,4.100353092346435e-09,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,5.697422147154327e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4732118494978531,0.181087109187193,0.181087109187193,5.507253559305967e-10,5.507253559305967e-10,7.835954107804355e-13,7.835954107804355e-13,2.3830843810176502e-21,2.3830843810176502e-21,True,brentq,18,1.0,0.4812673589686074,-0.24195125818002342,0.6184826307422343,-0.22943029864687714,2.4788316450367525,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,5.697422147154327e-09,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,5.697422147154327e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5109896993661576,0.49554825796443025,0.49554825796443025,1.5070702269929938e-09,1.5070702269929938e-09,2.4692470290688107e-12,2.4692470290688107e-12,7.509518237207928e-21,7.509518237207928e-21,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,5.697422147154327e-09,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,7.916542403012688e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.46812487352182425,0.21048203394470674,0.21048203394470674,6.401217269494773e-10,6.401217269494773e-10,-2.123301534595612e-14,-2.123301534595612e-14,-6.457422610790955e-23,-6.457422610790955e-23,True,brentq,18,1.0,0.48688654665081404,-0.24620455051006288,0.6184786693302041,-0.22942836921397552,2.355375130901683,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,7.916542403012688e-09,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,7.916542403012688e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5012809144705006,0.5699559481573809,0.5699559481573809,1.7333602254882839e-09,1.7333602254882839e-09,6.6383565311411985e-12,6.6383565311411985e-12,2.0188688636184237e-20,2.0188688636184237e-20,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,7.916542403012688e-09,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1000000000000008e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.46291371413215676,0.24555592125755626,0.24555592125755626,7.46789060482707e-10,7.46789060482707e-10,9.555856106402416e-12,9.555856106402416e-12,2.906144053567026e-20,2.906144053567026e-20,True,brentq,17,1.0,0.4910012319373049,-0.24931004846041058,0.6184771087435317,-0.22942835316725485,2.229786088025566,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,1.1000000000000008e-08,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1000000000000008e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4915721295774951,0.6555361211259989,0.6555361211259989,1.9936281784656755e-09,1.9936281784656755e-09,7.088785114461871e-11,7.088785114461871e-11,2.1558540101503976e-19,2.1558540101503976e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,1.1000000000000008e-08,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.5284450438104506e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.45760784877847827,0.28727207498161456,0.28727207498161456,8.736569734493263e-10,8.736569734493263e-10,-8.476591650818932e-11,-8.476591650818932e-11,-2.5779162166368795e-19,-2.5779162166368795e-19,True,brentq,12,1.0,0.4939580818260433,-0.25154755010499585,0.6184720266654697,-0.22942609153716098,2.1000134881853256,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,1.5284450438104506e-08,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.5284450438104506e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4818633446748299,0.7539663502229704,0.7539663502229704,2.292975952015498e-09,2.292975952015498e-09,-9.247225207786869e-11,-9.247225207786869e-11,-2.812282672569704e-19,-2.812282672569704e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,1.5284450438104506e-08,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.123767501771576e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.45222822543158053,0.33681907414144424,0.33681907414144424,1.0243401936413465e-09,1.0243401936413465e-09,-8.705952625476243e-11,-8.705952625476243e-11,-2.6476698865539147e-19,-2.6476698865539147e-19,True,brentq,15,1.0,0.49609157633753526,-0.2531587939595396,0.6184660458463307,-0.22942421148441772,1.9702196971846888,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,2.123767501771576e-08,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.123767501771576e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4721545597825999,0.867176100696963,0.867176100696963,2.637271470368237e-09,2.637271470368237e-09,1.0602629885170245e-13,1.0602629885170245e-13,3.2244907677413656e-22,3.2244907677413656e-22,True,brentq,13,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,2.123767501771576e-08,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.9509653748077022e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4467938339481054,0.3955434416886218,0.3955434416886218,1.2029337907470746e-09,1.2029337907470746e-09,-5.661193736017367e-12,-5.661193736017367e-12,-1.7216923663171084e-20,-1.7216923663171084e-20,True,brentq,18,1.0,0.4976172922736344,-0.2543147648949025,0.618452411825185,-0.22941820487156955,1.839296670163428,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,2.9509653748077022e-08,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.9509653748077022e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4624457748867429,0.9973845508416819,0.9973845508416819,3.033263738249628e-09,3.033263738249628e-09,4.440892098500626e-15,4.440892098500626e-15,1.3505720493157552e-23,1.3505720493157552e-23,True,brentq,15,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,2.9509653748077022e-08,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,4.1003530923464347e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.44131852820114087,0.4650891475521964,0.4650891475521964,1.4144374355237422e-09,1.4144374355237422e-09,-4.942157794118884e-12,-4.942157794118884e-12,-1.5030178693822712e-20,-1.5030178693822712e-20,True,brentq,18,1.0,0.4987241808390933,-0.25514974738615637,0.6184376635367885,-0.22941331307761847,1.7061854761709956,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,4.1003530923464347e-08,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,4.1003530923464347e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.45273698999089845,1.1471440938678859,1.1471440938678859,3.4887151395520385e-09,3.4887151395520385e-09,3.561595462997502e-13,3.561595462997502e-13,1.0831587835512357e-21,1.0831587835512357e-21,True,brentq,15,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,4.1003530923464347e-08,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,5.697422147154338e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4358126628463704,0.5473751470939566,0.5473751470939566,1.6646870893458474e-09,1.6646870893458474e-09,-7.736034035588091e-13,-7.736034035588091e-13,-2.3526965099080457e-21,-2.3526965099080457e-21,True,brentq,18,1.0,0.4995193429930628,-0.2557493214004899,0.6184143009491889,-0.22940561682519892,1.5737360394794226,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,5.697422147154338e-08,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,5.697422147154338e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.44302820509540924,1.3193903705391985,1.3193903705391985,4.0125535974815304e-09,4.0125535974815304e-09,1.669575588891803e-11,1.669575588891803e-11,5.0775431480050474e-20,5.0775431480050474e-20,True,brentq,15,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,5.697422147154338e-08,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,7.916542403012671e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.43028290544701453,0.6446128319711383,0.6446128319711383,1.9604080760810002e-09,1.9604080760810002e-09,-2.1311841180704505e-12,-2.1311841180704505e-12,-6.4813952646663095e-21,-6.4813952646663095e-21,True,brentq,18,1.0,0.5000760537355659,-0.2561744749058519,0.6183606257453088,-0.22938154984940573,1.6208781889483106,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,7.916542403012671e-08,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,7.916542403012671e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.43331942020808045,1.51749981493489,1.51749981493489,4.615047583761069e-09,4.615047583761069e-09,4.5749315447096706e-10,4.5749315447096706e-10,1.3913363654802527e-18,1.3913363654802527e-18,True,brentq,15,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,7.916542403012671e-08,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1000000000000009e-07,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4247377573383628,0.759572987674705,0.759572987674705,2.31002695813095e-09,2.31002695813095e-09,-1.4874856901769817e-10,-1.4874856901769817e-10,-4.523768090624109e-19,-4.523768090624109e-19,True,brentq,17,1.0,0.500486590304972,-0.2564829314923612,0.6182892833476488,-0.22935618721301954,1.7308418232402474,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,1.1000000000000009e-07,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1000000000000009e-07,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.42361063530332893,1.745355839307138,1.745355839307138,5.308007401202407e-09,5.308007401202407e-09,1.509903313490213e-14,1.509903313490213e-14,4.591944967673568e-23,4.591944967673568e-23,True,brentq,16,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,1.1000000000000009e-07,,,,,,,
ofat_compare:L_gap:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,0.0,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4625160645365303,0.2547962096294298,0.2547962096294298,7.748907907789312e-10,7.748907907789312e-10,-5.440092820663267e-15,-5.440092820663267e-15,-1.6544507604118e-23,-1.6544507604118e-23,True,brentq,13,1.0,0.509109360603414,-0.255676748117779,0.6208866605509752,-0.23134585229715862,2.220992193218713,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_gap,0.0,,,,,,,
